
Summary,UTOPIA
Emissions
,CO2,162.842
,NOX,170.895

Cost,26629.4

TID Demand

,UTOPIA

,CSV
2003,1.449,0.483,1.449,0.483,4.83,0.966
2004,1.512,0.504,1.512,0.504,5.04,1.008
2005,1.575,0.525,1.575,0.525,5.25,1.05
2006,1.638,0.546,1.638,0.546,5.46,1.092
2007,1.701,0.567,1.701,0.567,5.67,1.134
2008,1.764,0.588,1.764,0.588,5.88,1.176
2009,1.827,0.609,1.827,0.609,6.09,1.218
2010,1.89,0.63,1.89,0.63,6.3,1.26
,TX
,ID,IN,SD,SN,WD,WN
1990,0,0,0,0,0,0
1991,0,0,0,0,0,0
1992,0,0,0,0,0,0
1993,0,0,0,0,0,0
1994,0,0,0,0,0,0
1995,0,0,0,0,0,0
1996,0,0,0,0,0,0
1997,0,0,0,0,0,0
1998,0,0,0,0,0,0
1999,0,0,0,0,0,0
2000,0,0,0,0,0,0
2001,0,0,0,0,0,0
2002,0,0,0,0,0,0
2003,0,0,0,0,0,0
2004,0,0,0,0,0,0
2005,0,0,0,0,0,0
2006,0,0,0,0,0,0
2007,0,0,0,0,0,0
2008,0,0,0,0,0,0
2009,0,0,0,0,0,0
2010,0,0,0,0,0,0

Time Dependent Production (Energy Units) Test

,UTOPIA
,CSV
,ID,IN,SD,SN,WD,WN
1990,0,0,0,0,0,0
1991,0,0,0,0,0,0
1992,0,0,0,0,0,0
1993,0,0,0,0,0,0
1994,0,0,0,0,0,0
1995,0,0,0,0,0,0
1996,0,0,0,0,0,0
1997,0,0,0,0,0,0
1998,0,0,0,0,0,0
1999,0,0,0,0,0,0
2000,0,0,0,0,0,0
2001,0,0,0,0,0,0
2002,0,0,0,0,0,0
2003,0,0,0,0,0,0
2004,0,0,0,0,0,0
2005,0,0,0,0,0,0
2006,0,0,0,0,0,0
2007,0,0,0,0,0,0
2008,0,0,0,0,0,0
2009,0,0,0,0,0,0
2010,0,0,0,0,0,0
,DSL
,ID,IN,SD,SN,WD,WN
1990,4.32,2.16,0,0,19.6812,15.0388
1991,4.536,2.268,0,0,20.6653,15.7907
1992,4.752,2.376,0,0,27.3693,10.8227
1993,4.968,2.484,0,0,22.6334,17.2946
1994,5.184,2.592,0,0,29.8574,11.8066
1995,5.4,2.7,0,0,31.1015,12.2985
1996,5.616,2.808,0,0,25.5856,19.5504
1997,5.832,2.916,0,0,26.5696,20.3024
1998,6.048,3.024,0,0,27.5537,21.0543
1999,6.264,3.132,0,0,28.5377,21.8063
2000,5.23858,2.3202,0,0,37.2408,12.9168
2001,4.65954,2.01598,0,0,29.2314,20.9107
2002,3.95395,1.64852,0,0,28.769,20.978
2003,3.28012,1.29693,0,0,28.37,21.077
2004,2.57453,0.929472,0,0,27.9076,21.1444
2005,1.90069,0.57788,0,0,27.5087,21.2434
2006,1.1951,0.210421,0,0,27.0463,21.3108
2007,0.485968,0,0,0,26.5768,21.3745
2008,0,0,10.912,0,25.723,10.3341
2009,11.301,0,0,0,24.6405,9.70232
2010,0,0,0,0,35.1528,9.02289
,ELC
,ID,IN,SD,SN,WD,WN
1990,0.84,0.28,0.84,0.28,2.8,0.56
1991,0.882,0.294,0.882,0.294,2.94,0.588
1992,0.924,0.308,0.924,0.308,3.08,0.616
1993,0.966,0.322,0.966,0.322,3.22,0.644
1994,1.008,0.336,1.008,0.336,3.36,0.672
1995,1.05,0.35,1.05,0.35,3.5,0.7
1996,1.092,0.364,1.092,0.364,3.64,0.728
1997,1.134,0.378,1.134,0.378,3.78,0.756
1998,1.176,0.392,1.176,0.392,3.92,0.784
1999,1.218,0.406,1.218,0.406,4.06,0.812
2000,2.12899,1.06386,1.26,0.42,4.2567,2.12899
2001,2.82412,1.41121,1.323,0.441,5.64655,2.82412
2002,3.60783,1.80283,1.386,0.462,7.2135,3.60783
2003,4.36932,2.18335,1.449,0.483,8.73602,4.36932
2004,5.15303,2.57497,1.512,0.504,10.303,5.15303
2005,5.91452,2.95548,1.575,0.525,11.8255,5.91452
2006,6.69823,3.34711,1.638,0.546,13.3924,6.69823
2007,7.48442,3.6288,1.701,0.567,14.9644,7.48442
2008,8.1144,3.7632,1.764,0.588,16.8053,8.40515
2009,8.4042,3.8976,1.827,0.609,18.8063,9.40595
2010,8.694,4.032,1.89,0.63,20.8739,10.4401
,GSL
,ID,IN,SD,SN,WD,WN
1990,0,0,0,0,0,0
1991,0,0,0,0,0,0
1992,0,0,0,0,0,0
1993,0,0,0,0,0,0
1994,0,0,0,0,0,0
1995,0,0,0,0,0,0
1996,0,0,0,0,0,0
1997,0,0,0,0,0,0
1998,0,0,0,0,0,0
1999,0,0,0,0,0,0
2000,0,0,0,0,0,0
2001,0,0,0,0,0,0
2002,0,0,0,0,0,0
2003,0,0,0,0,0,0
2004,0,0,0,0,0,0
2005,0,0,0,0,0,0
2006,0,0,0,0,0,0
2007,0,0,0,0,0,0
2008,0,0,0,0,0,0
2009,0,0,0,0,0,0
2010,0,0,0,0,0,0
,HCO
,ID,IN,SD,SN,WD,WN
1990,0.650461,0,0.650461,0,4.80211,0
1991,0.737321,0,0.737321,0,5.15085,0
1992,0.868571,0,0.868571,0,5.58835,0
1993,0.955431,0,0.955431,0,5.9371,0
1994,1.08668,0.0189595,1.08668,0.0189595,6.3746,0.0366812
1995,1.21793,0.0627095,1.21793,0.0627095,6.8121,0.124181
1996,1.30479,0.0842777,1.30479,0.0842777,7.16085,0.167291
1997,1.43604,0.128028,1.43604,0.128028,7.59835,0.254791
1998,1.56729,0.171778,1.56729,0.171778,8.03585,0.342291
1999,1.69854,0.215528,1.69854,0.215528,8.47335,0.429791
2000,4.501,2.24915,1.7854,0.237096,8.99929,4.501
2001,6.54011,3.26809,1.84911,0.236176,13.0763,6.54011
2002,8.98921,4.49191,2.04598,0.301801,17.973,8.98921
2003,11.3688,5.68101,2.24286,0.367426,22.7309,11.3688
2004,13.818,6.90483,2.43973,0.433051,27.6276,13.818
2005,16.1976,8.09394,2.63661,0.498676,32.3855,16.1976
2006,18.6467,9.31775,2.83348,0.564301,37.2822,18.6467
2007,21.1036,10.1981,3.03036,0.629926,42.1944,21.1036
2008,23.0722,10.6181,3.22723,0.695551,47.9472,23.9808
2009,23.9779,11.0381,3.42411,0.761176,54.2004,27.1083
2010,24.8391,11.4359,3.57659,0.804619,60.5731,30.2956
,HYD
,ID,IN,SD,SN,WD,WN
1990,0.577072,0.176686,0.577072,0.176686,1.1538,0.352533
1991,0.621462,0.220436,0.621462,0.220436,1.24255,0.440033
1992,0.621462,0.264186,0.621462,0.264186,1.24255,0.527533
