city,country,population,continent
CUPERTINO,UNITED STATES,60777,NORTH AMERICA
GARDENA,UNITED STATES,60224,NORTH AMERICA
LA MESA,UNITED STATES,60021,NORTH AMERICA
SOUTH WHITTIER,UNITED STATES,60000,NORTH AMERICA
TAYLORSVILLE,UNITED STATES,59992,NORTH AMERICA
WEST ALLIS,UNITED STATES,59934,NORTH AMERICA
KENDALE LAKES,UNITED STATES,59812,NORTH AMERICA
FOUNTAINEBLEAU,UNITED STATES,59255,NORTH AMERICA
BROOKLINE,UNITED STATES,59246,NORTH AMERICA
WHITE PLAINS,UNITED STATES,59047,NORTH AMERICA
THE HAMMOCKS,UNITED STATES,58976,NORTH AMERICA
HUNTINGTON PARK,UNITED STATES,58822,NORTH AMERICA
ARCADIA,UNITED STATES,58799,NORTH AMERICA
UNION,UNITED STATES,58499,NORTH AMERICA
MARGATE,UNITED STATES,58430,NORTH AMERICA
JEFFERSON CITY,UNITED STATES,58279,NORTH AMERICA
TAMIAMI,UNITED STATES,58250,NORTH AMERICA
MIDDLETOWN,UNITED STATES,57973,NORTH AMERICA
MEDFORD,UNITED STATES,57797,NORTH AMERICA
CARSON CITY,UNITED STATES,57525,NORTH AMERICA
NEW BRUNSWICK,UNITED STATES,57073,NORTH AMERICA
FOUNTAIN VALLEY,UNITED STATES,56313,NORTH AMERICA
OAK LAWN,UNITED STATES,56087,NORTH AMERICA
HEMPSTEAD,UNITED STATES,55806,NORTH AMERICA
BERWYN,UNITED STATES,55550,NORTH AMERICA
ITHACA,UNITED STATES,55439,NORTH AMERICA
ALOHA,UNITED STATES,55205,NORTH AMERICA
HOBOKEN,UNITED STATES,55131,NORTH AMERICA
PARAMOUNT,UNITED STATES,54909,NORTH AMERICA
IRVINGTON,UNITED STATES,54715,NORTH AMERICA
ROSEMEAD,UNITED STATES,54554,NORTH AMERICA
WEST NEW YORK,UNITED STATES,54227,NORTH AMERICA
REVERE,UNITED STATES,53993,NORTH AMERICA
PERTH AMBOY,UNITED STATES,52823,NORTH AMERICA
ASPEN HILL,UNITED STATES,52386,NORTH AMERICA
OAK PARK,UNITED STATES,52261,NORTH AMERICA
PLACENTIA,UNITED STATES,52157,NORTH AMERICA
LEVITTOWN,UNITED STATES,51839,NORTH AMERICA
ALISO VIEJO,UNITED STATES,51671,NORTH AMERICA
PLAINFIELD,UNITED STATES,51327,NORTH AMERICA
CERRITOS,UNITED STATES,51020,NORTH AMERICA
LAKEWOOD,UNITED STATES,50249,NORTH AMERICA
HELENA,UNITED STATES,50227,NORTH AMERICA
WHEATON,UNITED STATES,50095,NORTH AMERICA
NORTH BETHESDA,UNITED STATES,50056,NORTH AMERICA
FLORIN,UNITED STATES,49226,NORTH AMERICA
COUNTRY CLUB,UNITED STATES,49207,NORTH AMERICA
LA MIRADA,UNITED STATES,49095,NORTH AMERICA
CYPRESS,UNITED STATES,49064,NORTH AMERICA
BLOOMFIELD,UNITED STATES,48892,NORTH AMERICA
CERES,UNITED STATES,48697,NORTH AMERICA
COVINA,UNITED STATES,48462,NORTH AMERICA
ANTELOPE,UNITED STATES,47728,NORTH AMERICA
NORTH HIGHLANDS,UNITED STATES,47357,NORTH AMERICA
EVERETT,UNITED STATES,46324,NORTH AMERICA
HOLLISTER,UNITED STATES,46183,NORTH AMERICA
HACKENSACK,UNITED STATES,45248,NORTH AMERICA
ALTADENA,UNITED STATES,45236,NORTH AMERICA
OAKLAND PARK,UNITED STATES,45035,NORTH AMERICA
ARLINGTON,UNITED STATES,44992,NORTH AMERICA
UNIVERSITY,UNITED STATES,44979,NORTH AMERICA
CLEVELAND HEIGHTS,UNITED STATES,44562,NORTH AMERICA
ANNANDALE,UNITED STATES,44504,NORTH AMERICA
NORTH LAUDERDALE,UNITED STATES,44198,NORTH AMERICA
NORTH MIAMI BEACH,UNITED STATES,44124,NORTH AMERICA
WHITNEY,UNITED STATES,43955,NORTH AMERICA
FREEPORT,UNITED STATES,43508,NORTH AMERICA
SALEM,UNITED STATES,43415,NORTH AMERICA
SAN BRUNO,UNITED STATES,43299,NORTH AMERICA
WEST BABYLON,UNITED STATES,43168,NORTH AMERICA
CONCORD,UNITED STATES,42935,NORTH AMERICA
ROHNERT PARK,UNITED STATES,42838,NORTH AMERICA
BELL GARDENS,UNITED STATES,42747,NORTH AMERICA
HICKSVILLE,UNITED STATES,42368,NORTH AMERICA
WOONSOCKET,UNITED STATES,41759,NORTH AMERICA
WAIPAHU,UNITED STATES,41715,NORTH AMERICA
CAMPBELL,UNITED STATES,41544,NORTH AMERICA
TEANECK,UNITED STATES,40977,NORTH AMERICA
WILKES-BARRE,UNITED STATES,40806,NORTH AMERICA
GREENACRES,UNITED STATES,40719,NORTH AMERICA
SAN GABRIEL,UNITED STATES,40514,NORTH AMERICA
LA PUENTE,UNITED STATES,40322,NORTH AMERICA
CHELSEA,UNITED STATES,40227,NORTH AMERICA
KENDALL WEST,UNITED STATES,39952,NORTH AMERICA
HALLANDALE BEACH,UNITED STATES,39831,NORTH AMERICA
MARUMSCO,UNITED STATES,39390,NORTH AMERICA
ANNAPOLIS,UNITED STATES,39321,NORTH AMERICA
KEIZER,UNITED STATES,39315,NORTH AMERICA
SOUTH MIAMI HEIGHTS,UNITED STATES,39312,NORTH AMERICA
CULVER CITY,UNITED STATES,39283,NORTH AMERICA
MONTCLAIR,UNITED STATES,39276,NORTH AMERICA
NORTHGLENN,UNITED STATES,38928,NORTH AMERICA
FRANKFORT,UNITED STATES,38664,NORTH AMERICA
MONTCLAIR,UNITED STATES,38572,NORTH AMERICA
MISSION BEND,UNITED STATES,38570,NORTH AMERICA
STANTON,UNITED STATES,38528,NORTH AMERICA
AVENTURA,UNITED STATES,38202,NORTH AMERICA
LAKE WORTH,UNITED STATES,38107,NORTH AMERICA
HANOVER PARK,UNITED STATES,37982,NORTH AMERICA
VALLEY STREAM,UNITED STATES,37935,NORTH AMERICA
FORT LEE,UNITED STATES,37907,NORTH AMERICA
PARK RIDGE,UNITED STATES,37494,NORTH AMERICA
EAST MEADOW,UNITED STATES,37195,NORTH AMERICA
KEARNS,UNITED STATES,37194,NORTH AMERICA
WEST HOLLYWOOD,UNITED STATES,37080,NORTH AMERICA
EGYPT LAKE-LETO,UNITED STATES,36964,NORTH AMERICA
RICHMOND WEST,UNITED STATES,36898,NORTH AMERICA
LINCOLN PARK,UNITED STATES,36655,NORTH AMERICA
ELMONT,UNITED STATES,36636,NORTH AMERICA
BELLEVILLE,UNITED STATES,36383,NORTH AMERICA
TEMPLE CITY,UNITED STATES,36367,NORTH AMERICA
LA PRESA,UNITED STATES,36225,NORTH AMERICA
RICHFIELD,UNITED STATES,36151,NORTH AMERICA
LAUDERDALE LAKES,UNITED STATES,36069,NORTH AMERICA
CHILLUM,UNITED STATES,36047,NORTH AMERICA
MANHATTAN BEACH,UNITED STATES,35924,NORTH AMERICA
BELL,UNITED STATES,35811,NORTH AMERICA
WATERTOWN TOWN,UNITED STATES,35756,NORTH AMERICA
UNIVERSITY CITY,UNITED STATES,34549,NORTH AMERICA
NORRISTOWN,UNITED STATES,34510,NORTH AMERICA
OILDALE,UNITED STATES,34496,NORTH AMERICA
BEVERLY HILLS,UNITED STATES,34484,NORTH AMERICA
FOSTER CITY,UNITED STATES,34412,NORTH AMERICA
ENGLEWOOD,UNITED STATES,34407,NORTH AMERICA
KANEOHE,UNITED STATES,34123,NORTH AMERICA
CHESTER,UNITED STATES,34077,NORTH AMERICA
GOLDEN GLADES,UNITED STATES,34062,NORTH AMERICA
GLENDALE HEIGHTS,UNITED STATES,34058,NORTH AMERICA
DANA POINT,UNITED STATES,33934,NORTH AMERICA
FAIR OAKS,UNITED STATES,33789,NORTH AMERICA
LONG BEACH,UNITED STATES,33750,NORTH AMERICA
FAIR LAWN,UNITED STATES,33710,NORTH AMERICA
FOOTHILL FARMS,UNITED STATES,33627,NORTH AMERICA
BUENAVENTURA LAKES,UNITED STATES,33598,NORTH AMERICA
MONTGOMERY VILLAGE,UNITED STATES,33565,NORTH AMERICA
WESTMONT,UNITED STATES,33532,NORTH AMERICA
HUNTINGTON STATION,UNITED STATES,33338,NORTH AMERICA
MIDVALE,UNITED STATES,33208,NORTH AMERICA
EASTCHESTER,UNITED STATES,33183,NORTH AMERICA
LAWNDALE,UNITED STATES,33078,NORTH AMERICA
SPRING VALLEY,UNITED STATES,32724,NORTH AMERICA
EASTPOINTE,UNITED STATES,32511,NORTH AMERICA
FRANKLIN SQUARE,UNITED STATES,32482,NORTH AMERICA
WEST LITTLE RIVER,UNITED STATES,32433,NORTH AMERICA
GARFIELD,UNITED STATES,32393,NORTH AMERICA
NORTH PROVIDENCE,UNITED STATES,32345,NORTH AMERICA
COLLEGE PARK,UNITED STATES,32303,NORTH AMERICA
PARKVILLE,UNITED STATES,31762,NORTH AMERICA
UNIONDALE,UNITED STATES,31597,NORTH AMERICA
SAN PABLO,UNITED STATES,31156,NORTH AMERICA
MIAMI LAKES,UNITED STATES,31087,NORTH AMERICA
LONG BRANCH,UNITED STATES,30762,NORTH AMERICA
SANTA PAULA,UNITED STATES,30747,NORTH AMERICA
CITY OF ORANGE,UNITED STATES,30731,NORTH AMERICA
OCEANSIDE,UNITED STATES,30710,NORTH AMERICA
BURLINGAME,UNITED STATES,30686,NORTH AMERICA
WESTCHESTER,UNITED STATES,30516,NORTH AMERICA
SAN CARLOS,UNITED STATES,30499,NORTH AMERICA
BAY SHORE,UNITED STATES,30392,NORTH AMERICA
STERLING,UNITED STATES,30378,NORTH AMERICA
RAHWAY,UNITED STATES,30131,NORTH AMERICA
GOLDEN GATE,UNITED STATES,29841,NORTH AMERICA
EAST PALO ALTO,UNITED STATES,29765,NORTH AMERICA
PORT CHESTER,UNITED STATES,29711,NORTH AMERICA
OAK PARK,UNITED STATES,29654,NORTH AMERICA
SUISUN CITY,UNITED STATES,29639,NORTH AMERICA
WEST FALLS CHURCH,UNITED STATES,29150,NORTH AMERICA
ENGLEWOOD,UNITED STATES,29112,NORTH AMERICA
SHAMOKIN,UNITED STATES,28903,NORTH AMERICA
NUTLEY,UNITED STATES,28829,NORTH AMERICA
BURBANK,UNITED STATES,28793,NORTH AMERICA
LADERA RANCH,UNITED STATES,28769,NORTH AMERICA
MELROSE,UNITED STATES,28367,NORTH AMERICA
NEWBURGH,UNITED STATES,28363,NORTH AMERICA
MILILANI TOWN,UNITED STATES,28343,NORTH AMERICA
DREXEL HILL,UNITED STATES,28246,NORTH AMERICA
WINCHESTER,UNITED STATES,28130,NORTH AMERICA
BERGENFIELD,UNITED STATES,27927,NORTH AMERICA
MAYWOOD,UNITED STATES,27586,NORTH AMERICA
ISLA VISTA,UNITED STATES,27484,NORTH AMERICA
IMPERIAL BEACH,UNITED STATES,27418,NORTH AMERICA
LEISURE CITY,UNITED STATES,27389,NORTH AMERICA
LINDENHURST,UNITED STATES,27153,NORTH AMERICA
BELMONT,UNITED STATES,27140,NORTH AMERICA
EASTON,UNITED STATES,27109,NORTH AMERICA
LEMON GROVE,UNITED STATES,27108,NORTH AMERICA
INDIANA,UNITED STATES,27105,NORTH AMERICA
WEST WHITTIER-LOS NIETOS,UNITED STATES,27002,NORTH AMERICA
REISTERSTOWN,UNITED STATES,26903,NORTH AMERICA
UNIVERSITY PARK,UNITED STATES,26565,NORTH AMERICA
SOLEDAD,UNITED STATES,26483,NORTH AMERICA
BELMONT,UNITED STATES,25965,NORTH AMERICA
LAUREL,UNITED STATES,25906,NORTH AMERICA
SOUTH PASADENA,UNITED STATES,25888,NORTH AMERICA
EL CERRITO,UNITED STATES,25515,NORTH AMERICA
OSSINING,UNITED STATES,25403,NORTH AMERICA
BALDWIN,UNITED STATES,25214,NORTH AMERICA
UNIVERSITY PARK,UNITED STATES,25201,NORTH AMERICA
MELROSE PARK,UNITED STATES,25197,NORTH AMERICA
JUNEAU,UNITED STATES,25180,NORTH AMERICA
CLIFFSIDE PARK,UNITED STATES,25142,NORTH AMERICA
SAN LORENZO,UNITED STATES,25101,NORTH AMERICA
VALINDA,UNITED STATES,25080,NORTH AMERICA
LODI,UNITED STATES,24961,NORTH AMERICA
SOUTH BRADENTON,UNITED STATES,24935,NORTH AMERICA
SUITLAND,UNITED STATES,24927,NORTH AMERICA
PALM SPRINGS,UNITED STATES,24892,NORTH AMERICA
ROCKVILLE CENTRE,UNITED STATES,24848,NORTH AMERICA
RIVERBANK,UNITED STATES,24740,NORTH AMERICA
CORAL TERRACE,UNITED STATES,24723,NORTH AMERICA
SAN FERNANDO,UNITED STATES,24714,NORTH AMERICA
MAPLEWOOD,UNITED STATES,24706,NORTH AMERICA
WATAUGA,UNITED STATES,24602,NORTH AMERICA
ELMWOOD PARK,UNITED STATES,24537,NORTH AMERICA
HERNDON,UNITED STATES,24532,NORTH AMERICA
BAILEY'S CROSSROADS,UNITED STATES,24521,NORTH AMERICA
ASHLAND,UNITED STATES,24477,NORTH AMERICA
OAK RIDGE,UNITED STATES,24368,NORTH AMERICA
PEEKSKILL,UNITED STATES,24272,NORTH AMERICA
TERRYTOWN,UNITED STATES,24216,NORTH AMERICA
EWA GENTRY,UNITED STATES,24181,NORTH AMERICA
HIALEAH GARDENS,UNITED STATES,24156,NORTH AMERICA
KIRYAS JOEL,UNITED STATES,24155,NORTH AMERICA
CARTERET,UNITED STATES,24084,NORTH AMERICA
CUDAHY,UNITED STATES,24076,NORTH AMERICA
CLOVERLEAF,UNITED STATES,24023,NORTH AMERICA
DECATUR,UNITED STATES,23832,NORTH AMERICA
ROSEMONT,UNITED STATES,23700,NORTH AMERICA
MAYWOOD,UNITED STATES,23640,NORTH AMERICA
WEST RANCHO DOMINGUEZ,UNITED STATES,23537,NORTH AMERICA
WEST PUENTE VALLEY,UNITED STATES,23487,NORTH AMERICA
BLUE ISLAND,UNITED STATES,23361,NORTH AMERICA
THE CROSSINGS,UNITED STATES,23062,NORTH AMERICA
COPIAGUE,UNITED STATES,22926,NORTH AMERICA
LANDOVER,UNITED STATES,22852,NORTH AMERICA
MILLBRAE,UNITED STATES,22718,NORTH AMERICA
WILLOWBROOK,UNITED STATES,22654,NORTH AMERICA
IVES ESTATES,UNITED STATES,22460,NORTH AMERICA
SUNNY ISLES BEACH,UNITED STATES,22348,NORTH AMERICA
WEST CARSON,UNITED STATES,22260,NORTH AMERICA
MASSAPEQUA,UNITED STATES,22102,NORTH AMERICA
HILLSIDE,UNITED STATES,22069,NORTH AMERICA
NORTH PLAINFIELD,UNITED STATES,22060,NORTH AMERICA
MONSEY,UNITED STATES,22043,NORTH AMERICA
ROSELLE,UNITED STATES,21976,NORTH AMERICA
NORTH BAY SHORE,UNITED STATES,21886,NORTH AMERICA
HAMTRAMCK,UNITED STATES,21752,NORTH AMERICA
HAYESVILLE,UNITED STATES,21658,NORTH AMERICA
LENNOX,UNITED STATES,21537,NORTH AMERICA
MOUNTLAKE TERRACE,UNITED STATES,21337,NORTH AMERICA
MCNAIR,UNITED STATES,21183,NORTH AMERICA
SWEETWATER,UNITED STATES,21028,NORTH AMERICA
PALISADES PARK,UNITED STATES,20988,NORTH AMERICA
SOUTH EL MONTE,UNITED STATES,20987,NORTH AMERICA
LOMITA,UNITED STATES,20707,NORTH AMERICA
MERRICK,UNITED STATES,20679,NORTH AMERICA
NORTH LYNNWOOD,UNITED STATES,20626,NORTH AMERICA
MAKAKILO,UNITED STATES,20615,NORTH AMERICA
JASMINE ESTATES,UNITED STATES,20465,NORTH AMERICA
ELMWOOD PARK,UNITED STATES,20429,NORTH AMERICA
SOUTH SAN JOSE HILLS,UNITED STATES,20423,NORTH AMERICA
COLUMBIA HEIGHTS,UNITED STATES,20254,NORTH AMERICA
SCHOFIELD BARRACKS,UNITED STATES,20229,NORTH AMERICA
FRANCONIA,UNITED STATES,20145,NORTH AMERICA
ALBANY,UNITED STATES,20143,NORTH AMERICA
WEST CHESTER,UNITED STATES,20060,NORTH AMERICA
BAYSHORE GARDENS,UNITED STATES,20047,NORTH AMERICA
NORTH BELLMORE,UNITED STATES,19994,NORTH AMERICA
NORWOOD,UNITED STATES,19870,NORTH AMERICA
WEST HEMPSTEAD,UNITED STATES,19841,NORTH AMERICA
NORTH AMITYVILLE,UNITED STATES,19774,NORTH AMERICA
LYNBROOK,UNITED STATES,19716,NORTH AMERICA
HERMOSA BEACH,UNITED STATES,19708,NORTH AMERICA
LA CRESCENTA-MONTROSE,UNITED STATES,19658,NORTH AMERICA
LANGLEY PARK,UNITED STATES,19561,NORTH AMERICA
EVERGREEN PARK,UNITED STATES,19542,NORTH AMERICA
MAMARONECK,UNITED STATES,19423,NORTH AMERICA
ISELIN,UNITED STATES,19422,NORTH AMERICA
MINEOLA,UNITED STATES,19387,NORTH AMERICA
CENTRAL FALLS,UNITED STATES,19359,NORTH AMERICA
NORTH VALLEY STREAM,UNITED STATES,19153,NORTH AMERICA
HAWTHORNE,UNITED STATES,19101,NORTH AMERICA
MORRISTOWN,UNITED STATES,19037,NORTH AMERICA
BELLWOOD,UNITED STATES,19019,NORTH AMERICA
AVENEL,UNITED STATES,18846,NORTH AMERICA
BELLAIRE,UNITED STATES,18797,NORTH AMERICA
RUTHERFORD,UNITED STATES,18782,NORTH AMERICA
BROOKFIELD,UNITED STATES,18694,NORTH AMERICA
EAST MASSAPEQUA,UNITED STATES,18689,NORTH AMERICA
IDYLWOOD,UNITED STATES,18678,NORTH AMERICA
POINT PLEASANT,UNITED STATES,18651,NORTH AMERICA
WINTHROP TOWN,UNITED STATES,18625,NORTH AMERICA
SHERRELWOOD,UNITED STATES,18616,NORTH AMERICA
NORTH MASSAPEQUA,UNITED STATES,18591,NORTH AMERICA
BRYN MAWR-SKYWAY,UNITED STATES,18365,NORTH AMERICA
HYATTSVILLE,UNITED STATES,18333,NORTH AMERICA
DOVER,UNITED STATES,18232,NORTH AMERICA
GLASSMANOR,UNITED STATES,18158,NORTH AMERICA
DUMONT,UNITED STATES,17998,NORTH AMERICA
BURKE CENTRE,UNITED STATES,17969,NORTH AMERICA
TAKOMA PARK,UNITED STATES,17885,NORTH AMERICA
SUDLEY,UNITED STATES,17849,NORTH AMERICA
SEABROOK,UNITED STATES,17808,NORTH AMERICA
OJUS,UNITED STATES,17727,NORTH AMERICA
GREENFIELD,UNITED STATES,17647,NORTH AMERICA
HARRISON,UNITED STATES,17643,NORTH AMERICA
BOSTONIA,UNITED STATES,17600,NORTH AMERICA
WAHIAWA,UNITED STATES,17555,NORTH AMERICA
SOUTH HOUSTON,UNITED STATES,17543,NORTH AMERICA
VINCENT,UNITED STATES,17485,NORTH AMERICA
WOODMERE,UNITED STATES,17376,NORTH AMERICA
MASSAPEQUA PARK,UNITED STATES,17266,NORTH AMERICA
MERRIFIELD,UNITED STATES,17243,NORTH AMERICA
EAST CLEVELAND,UNITED STATES,17187,NORTH AMERICA
GLENMONT,UNITED STATES,16917,NORTH AMERICA
ARTESIA,UNITED STATES,16904,NORTH AMERICA
NEW MILFORD,UNITED STATES,16868,NORTH AMERICA
CLAYTON,UNITED STATES,16805,NORTH AMERICA
HYBLA VALLEY,UNITED STATES,16768,NORTH AMERICA
FOUR CORNERS,UNITED STATES,16648,NORTH AMERICA
BROWNSVILLE,UNITED STATES,16615,NORTH AMERICA
COUNTRY WALK,UNITED STATES,16601,NORTH AMERICA
MANASSAS PARK,UNITED STATES,16591,NORTH AMERICA
LANSDALE,UNITED STATES,16588,NORTH AMERICA
SOUTH ORANGE VILLAGE,UNITED STATES,16503,NORTH AMERICA
HAZEL PARK,UNITED STATES,16489,NORTH AMERICA
SOUTH RIVER,UNITED STATES,16349,NORTH AMERICA
KINGSTOWNE,UNITED STATES,16332,NORTH AMERICA
AVOCADO HEIGHTS,UNITED STATES,16213,NORTH AMERICA
PARKWAY,UNITED STATES,16166,NORTH AMERICA
HILLCREST HEIGHTS,UNITED STATES,16137,NORTH AMERICA
FLORAL PARK,UNITED STATES,16103,NORTH AMERICA
ROOSEVELT,UNITED STATES,16091,NORTH AMERICA
EAST RANCHO DOMINGUEZ,UNITED STATES,16027,NORTH AMERICA
NORTH ARLINGTON,UNITED STATES,16009,NORTH AMERICA
CHERRYLAND,UNITED STATES,15999,NORTH AMERICA
PALMETTO ESTATES,UNITED STATES,15998,NORTH AMERICA
PINEWOOD,UNITED STATES,15975,NORTH AMERICA
WALNUT PARK,UNITED STATES,15915,NORTH AMERICA
FORDS,UNITED STATES,15915,NORTH AMERICA
ADELPHI,UNITED STATES,15898,NORTH AMERICA
EAST SAN GABRIEL,UNITED STATES,15832,NORTH AMERICA
ASBURY PARK,UNITED STATES,15767,NORTH AMERICA
BELLMORE,UNITED STATES,15767,NORTH AMERICA
LA PALMA,UNITED STATES,15722,NORTH AMERICA
PACIFIC GROVE,UNITED STATES,15698,NORTH AMERICA
EAST RIVERDALE,UNITED STATES,15645,NORTH AMERICA
WEST UNIVERSITY PLACE,UNITED STATES,15608,NORTH AMERICA
NORTH NEW HYDE PARK,UNITED STATES,15585,NORTH AMERICA
LA GRANGE,UNITED STATES,15581,NORTH AMERICA
WILKINSBURG,UNITED STATES,15554,NORTH AMERICA
WESTBURY,UNITED STATES,15493,NORTH AMERICA
NORTH FAIR OAKS,UNITED STATES,15454,NORTH AMERICA
SEAFORD,UNITED STATES,15405,NORTH AMERICA
EGGERTSVILLE,UNITED STATES,15364,NORTH AMERICA
BERKLEY,UNITED STATES,15331,NORTH AMERICA
WHITE CENTER,UNITED STATES,15300,NORTH AMERICA
SOUTH FARMINGDALE,UNITED STATES,15294,NORTH AMERICA
STANFORD,UNITED STATES,15277,NORTH AMERICA
PARLIER,UNITED STATES,15245,NORTH AMERICA
BULL RUN,UNITED STATES,15235,NORTH AMERICA
MCFARLAND,UNITED STATES,15234,NORTH AMERICA
KENMORE,UNITED STATES,15217,NORTH AMERICA
WEST PARK,UNITED STATES,15153,NORTH AMERICA
FRANKLIN PARK,UNITED STATES,15090,NORTH AMERICA
EWA BEACH,UNITED STATES,15047,NORTH AMERICA
NEWPORT,UNITED STATES,15033,NORTH AMERICA
PIERRE,UNITED STATES,14803,NORTH AMERICA
MIDLOTHIAN,UNITED STATES,14634,NORTH AMERICA
HADDON,UNITED STATES,14612,NORTH AMERICA
FALLS CHURCH,UNITED STATES,14583,NORTH AMERICA
ROBBINSDALE,UNITED STATES,14544,NORTH AMERICA
FAIRVIEW,UNITED STATES,14537,NORTH AMERICA
LITTLE FALLS,UNITED STATES,14524,NORTH AMERICA
HAWAIIAN GARDENS,UNITED STATES,14450,NORTH AMERICA
NORRIDGE,UNITED STATES,14437,NORTH AMERICA
OLYMPIA HEIGHTS,UNITED STATES,14345,NORTH AMERICA
HALAWA,UNITED STATES,14335,NORTH AMERICA
NEW CASSEL,UNITED STATES,14321,NORTH AMERICA
WEEHAWKEN,UNITED STATES,14268,NORTH AMERICA
CHICAGO RIDGE,UNITED STATES,14186,NORTH AMERICA
LEMON HILL,UNITED STATES,14182,NORTH AMERICA
HIGHLAND PARK,UNITED STATES,14164,NORTH AMERICA
WILLOWICK,UNITED STATES,14148,NORTH AMERICA
SADDLE BROOK,UNITED STATES,14076,NORTH AMERICA
COLLINGSWOOD,UNITED STATES,14027,NORTH AMERICA
RIVIERA BEACH,UNITED STATES,13977,NORTH AMERICA
FOREST PARK,UNITED STATES,13951,NORTH AMERICA
WHITEFISH BAY,UNITED STATES,13950,NORTH AMERICA
ROSELLE PARK,UNITED STATES,13821,NORTH AMERICA
BEXLEY,UNITED STATES,13786,NORTH AMERICA
HARPER WOODS,UNITED STATES,13743,NORTH AMERICA
PRINCETON MEADOWS,UNITED STATES,13692,NORTH AMERICA
GROVER BEACH,UNITED STATES,13628,NORTH AMERICA
CARPINTERIA,UNITED STATES,13622,NORTH AMERICA
OCEAN POINTE,UNITED STATES,13579,NORTH AMERICA
GLADEVIEW,UNITED STATES,13539,NORTH AMERICA
KEMP MILL,UNITED STATES,13445,NORTH AMERICA
LA GRANGE PARK,UNITED STATES,13433,NORTH AMERICA
SHOREWOOD,UNITED STATES,13338,NORTH AMERICA
ARDMORE,UNITED STATES,13193,NORTH AMERICA
KEY BISCAYNE,UNITED STATES,13182,NORTH AMERICA
FOUR CORNERS,UNITED STATES,13178,NORTH AMERICA
WAIMALU,UNITED STATES,13158,NORTH AMERICA
RIDGEFIELD PARK,UNITED STATES,13154,NORTH AMERICA
COATESVILLE,UNITED STATES,13123,NORTH AMERICA
UNIVERSITY HEIGHTS,UNITED STATES,13028,NORTH AMERICA
NEW CARROLLTON,UNITED STATES,13023,NORTH AMERICA
SUGARLAND RUN,UNITED STATES,12994,NORTH AMERICA
HUNTINGTON,UNITED STATES,12992,NORTH AMERICA
KINGSTON,UNITED STATES,12878,NORTH AMERICA
CLARKSTON,UNITED STATES,12848,NORTH AMERICA
WILTON MANORS,UNITED STATES,12773,NORTH AMERICA
FEDERAL HEIGHTS,UNITED STATES,12744,NORTH AMERICA
CORNELIUS,UNITED STATES,12493,NORTH AMERICA
PATCHOGUE,UNITED STATES,12489,NORTH AMERICA
SALISBURY,UNITED STATES,12474,NORTH AMERICA
NORTH MERRICK,UNITED STATES,12436,NORTH AMERICA
SOMERVILLE,UNITED STATES,12418,NORTH AMERICA
EDGEWATER,UNITED STATES,12368,NORTH AMERICA
CHERRY CREEK,UNITED STATES,12310,NORTH AMERICA
SOUTH MIAMI,UNITED STATES,12281,NORTH AMERICA
HASBROUCK HEIGHTS,UNITED STATES,12277,NORTH AMERICA
WESTWOOD LAKES,UNITED STATES,12273,NORTH AMERICA
HAVERSTRAW,UNITED STATES,12216,NORTH AMERICA
RED BANK,UNITED STATES,12150,NORTH AMERICA
ALUM ROCK,UNITED STATES,12128,NORTH AMERICA
NORTH WANTAGH,UNITED STATES,12019,NORTH AMERICA
HOME GARDENS,UNITED STATES,11997,NORTH AMERICA
CLAWSON,UNITED STATES,11946,NORTH AMERICA
FREEHOLD,UNITED STATES,11894,NORTH AMERICA
WALLINGTON,UNITED STATES,11781,NORTH AMERICA
OAK HILLS,UNITED STATES,11779,NORTH AMERICA
MINNEHAHA,UNITED STATES,11767,NORTH AMERICA
EMERYVILLE,UNITED STATES,11758,NORTH AMERICA
RIVER EDGE,UNITED STATES,11724,NORTH AMERICA
GUTTENBERG,UNITED STATES,11695,NORTH AMERICA
SIGNAL HILL,UNITED STATES,11622,NORTH AMERICA
WAIPIO,UNITED STATES,11607,NORTH AMERICA
YEADON,UNITED STATES,11505,NORTH AMERICA
CITRUS,UNITED STATES,11489,NORTH AMERICA
PIEDMONT,UNITED STATES,11378,NORTH AMERICA
NEWMAN,UNITED STATES,11360,NORTH AMERICA
VIEW PARK-WINDSOR HILLS,UNITED STATES,11308,NORTH AMERICA
SUMMIT,UNITED STATES,11278,NORTH AMERICA
RICHMOND HEIGHTS,UNITED STATES,11155,NORTH AMERICA
LITTLE FERRY,UNITED STATES,11000,NORTH AMERICA
SUFFERN,UNITED STATES,10995,NORTH AMERICA
ROSSMOOR,UNITED STATES,10920,NORTH AMERICA
NORTH LINDENHURST,UNITED STATES,10788,NORTH AMERICA
NARANJA,UNITED STATES,10776,NORTH AMERICA
NORTHBROOK,UNITED STATES,10760,NORTH AMERICA
DARBY,UNITED STATES,10700,NORTH AMERICA
LA RIVIERA,UNITED STATES,10693,NORTH AMERICA
JACINTO CITY,UNITED STATES,10661,NORTH AMERICA
TIMBERLANE,UNITED STATES,10655,NORTH AMERICA
LANSDOWNE,UNITED STATES,10646,NORTH AMERICA
WEST PERRINE,UNITED STATES,10634,NORTH AMERICA
DEL AIRE,UNITED STATES,10614,NORTH AMERICA
EAST WHITTIER,UNITED STATES,10540,NORTH AMERICA
CORAL HILLS,UNITED STATES,10512,NORTH AMERICA
BOUND BROOK,UNITED STATES,10468,NORTH AMERICA
