city,country,population,continent
COMANDANTE LUIS PIEDRA BUENA,ARGENTINA,410,SOUTH AMERICA
YEREVAN,ARMENIA,1102000,EUROPE
GYUMRI,ARMENIA,148381,EUROPE
VANADZOR,ARMENIA,101098,EUROPE
GAVARR,ARMENIA,21680,EUROPE
ARTASHAT,ARMENIA,20562,EUROPE
ASHTARAK,ARMENIA,18779,EUROPE
YEGHEGNADZOR,ARMENIA,8200,EUROPE
IJEVAN,ARMENIA,14737,EUROPE
ORANJESTAD,ARUBA,68775,
SYDNEY,AUSTRALIA,4630000,OCEANIA
MELBOURNE,AUSTRALIA,4170000,OCEANIA
BRISBANE,AUSTRALIA,1860000,OCEANIA
PERTH,AUSTRALIA,1532000,OCEANIA
ADELAIDE,AUSTRALIA,1145000,OCEANIA
NEWCASTLE,AUSTRALIA,1134616,OCEANIA
CANBERRA,AUSTRALIA,327700,OCEANIA
GOLD COAST,AUSTRALIA,527660,OCEANIA
CRANBOURNE,AUSTRALIA,460491,OCEANIA
WOLLONGONG,AUSTRALIA,260914,OCEANIA
GEELONG,AUSTRALIA,160991,OCEANIA
CAIRNS,AUSTRALIA,154225,OCEANIA
TOWNSVILLE,AUSTRALIA,138954,OCEANIA
ALBURY,AUSTRALIA,104258,OCEANIA
DARWIN,AUSTRALIA,93080,OCEANIA
HOBART,AUSTRALIA,80870,OCEANIA
CALOUNDRA,AUSTRALIA,38706,OCEANIA
NOWRA,AUSTRALIA,94781,OCEANIA
TOOWOOMBA,AUSTRALIA,92800,OCEANIA
BALLARAT,AUSTRALIA,85109,OCEANIA
BENDIGO,AUSTRALIA,81657,OCEANIA
MACKAY,AUSTRALIA,75922,OCEANIA
MANDURAH,AUSTRALIA,73356,OCEANIA
LAUNCESTON,AUSTRALIA,72458,OCEANIA
ROCKHAMPTON,AUSTRALIA,65850,OCEANIA
COFFS HARBOUR,AUSTRALIA,62978,OCEANIA
WAGGA WAGGA,AUSTRALIA,55381,OCEANIA
BUNDABERG,AUSTRALIA,52472,OCEANIA
PORT MACQUARIE,AUSTRALIA,48547,OCEANIA
MILDURA,AUSTRALIA,47867,OCEANIA
TAREE,AUSTRALIA,44182,OCEANIA
ORANGE,AUSTRALIA,39329,OCEANIA
TAMWORTH,AUSTRALIA,38551,OCEANIA
KALGOORLIE,AUSTRALIA,36852,OCEANIA
SHEPPARTON,AUSTRALIA,33550,OCEANIA
MOUNT ISA,AUSTRALIA,33200,OCEANIA
TWEED HEADS,AUSTRALIA,33065,OCEANIA
QUEANBEYAN,AUSTRALIA,32602,OCEANIA
MELTON,AUSTRALIA,32368,OCEANIA
DUBBO,AUSTRALIA,31574,OCEANIA
CABOOLTURE,AUSTRALIA,31513,OCEANIA
LISMORE,AUSTRALIA,31430,OCEANIA
GLADSTONE,AUSTRALIA,30489,OCEANIA
WARRNAMBOOL,AUSTRALIA,29928,OCEANIA
SUNBURY,AUSTRALIA,29925,OCEANIA
ALICE SPRINGS,AUSTRALIA,27710,OCEANIA
GERALDTON,AUSTRALIA,27258,OCEANIA
BUNBURY,AUSTRALIA,26998,OCEANIA
ALBANY,AUSTRALIA,26445,OCEANIA
HERVEY BAY,AUSTRALIA,25114,OCEANIA
MOUNT GAMBIER,AUSTRALIA,23209,OCEANIA
ARMIDALE,AUSTRALIA,22673,OCEANIA
WHYALLA,AUSTRALIA,22559,OCEANIA
SALE,AUSTRALIA,22486,OCEANIA
KATOOMBA,AUSTRALIA,22076,OCEANIA
GOULBURN,AUSTRALIA,20940,OCEANIA
MARYBOROUGH,AUSTRALIA,20678,OCEANIA
KWINANA,AUSTRALIA,20086,OCEANIA
BURNIE,AUSTRALIA,19972,OCEANIA
ECHUCA,AUSTRALIA,19457,OCEANIA
DEVONPORT,AUSTRALIA,19317,OCEANIA
ROEBOURNE,AUSTRALIA,19260,OCEANIA
MAITLAND,AUSTRALIA,18625,OCEANIA
TRARALGON,AUSTRALIA,18226,OCEANIA
MURRAY BRIDGE,AUSTRALIA,18194,OCEANIA
TUNCURRY,AUSTRALIA,17591,OCEANIA
BROKEN HILL,AUSTRALIA,17395,OCEANIA
KARRATHA,AUSTRALIA,16796,OCEANIA
GAWLER,AUSTRALIA,16362,OCEANIA
GRIFFITH,AUSTRALIA,15455,OCEANIA
KINGSTON,AUSTRALIA,14371,OCEANIA
